Angle (degrees),Resistance (kÎ©)
0,6.34
1,6.39
2,6.34
3,6.37
4,6.37
5,6.39
6,6.53
7,6.45
8,6.53
9,6.53
10,6.58
11,6.63
12,6.66
13,6.74
14,6.74
15,6.8
16,6.85
17,6.91
18,7.02
19,7.08
20,7.19
21,7.37
22,7.43
23,7.61
24,7.61
25,7.82
26,7.88
27,8.01
28,8.2
29,8.33
30,8.43
31,8.57
32,8.6
33,8.87
34,8.94
35,9.09
36,9.19
37,9.34
38,9.49
39,9.56
40,9.67
41,9.79
42,9.86
43,9.98
44,10.06
45,10.3
46,10.3
47,10.42
48,10.46
49,10.67
50,10.75
51,10.79
52,11.01
53,11.01
54,11.18
55,11.4
56,11.49
57,11.67
58,11.67
59,11.72
60,11.81
61,11.95
62,12
63,12.14
64,12.34
65,12.34
66,12.34
67,12.73
68,12.68
69,12.83
70,12.99
71,13.09
72,13.14
73,13.36
74,13.52
75,13.52
76,13.52
77,13.68
78,13.85
79,14.01
80,14.07
81,14.24
82,14.3
83,14.36
84,14.59
85,14.71
86,14.77
87,14.95
88,15.01
89,15.01
90,15.32
91,15.32
92,15.51
93,15.64
94,15.7
95,15.83
96,15.64
97,15.96
98,16.03
99,16.16
100,16.37
101,16.64
102,19.83
103,19.57
104,18.9
105,15.38
106,19.57
107,18.26
108,18.34
109,16.64
110,18.74
111,20.36
112,18.58
113,18.98
114,20
115,19.06
116,19.4
117,19.83
118,20.81
119,21.19
120,19.74
121,20.81
122,19.31
123,20.09
124,19.23
125,21.28
126,20.63
127,20.09
128,20.36
129,20.36
130,21
131,21.09
132,21.57
133,23.21
134,22.07
135,19.74
136,21.87
137,19.06
138,20.36
139,20.27
140,20.45
141,20.45
142,20.45
143,22.48
144,20.72
145,21.97
146,22.48
147,21.97
148,21.57
149,21.48
150,20.81
151,21.48
152,20.81
153,20.91
154,19.06
155,21.09
156,21.09
157,21.09
158,21.28
159,21.28
160,21.38
161,21.38
162,21.38
163,18.66
164,21.57
165,20.27
166,22.07
167,19.74
168,21.28
169,17.14
170,21.48
171,21.57
172,21.28
173,21.28
174,25.64
175,26.28
176,16.71
177,21.19
178,16.57
179,21.28
180,19.15
180,22.89
179,22.58
178,22.48
177,22.89
176,22.48
175,22.48
174,23.11
173,23.76
172,17.5
171,23.76
170,17.65
169,23.11
168,17.43
167,23.43
166,22.17
165,22.07
164,22.27
163,22.07
162,22.07
161,22.68
160,22.27
159,21
158,21
157,20.91
156,20.54
155,18.18
154,21
153,21.19
152,20.91
151,20.63
150,20.63
149,20.63
148,20.63
147,20.72
146,17.21
145,21.19
144,21.57
143,21.28
142,21.09
141,21.09
140,20.81
139,20.81
138,20.45
137,20.27
136,20.27
135,20.36
134,20.27
133,17.5
132,20
131,20
130,19.91
129,19.83
128,19.74
127,19.48
126,18.9
125,18.5
124,18.03
123,17.95
122,17.72
121,17.57
120,17.21
119,17.43
118,17.21
117,17.21
116,17.21
115,17.14
114,16.99
113,16.78
112,16.71
111,16.57
110,16.37
109,16.1
108,16.16
107,16.37
106,16.3
105,16.5
104,16.57
103,16.03
102,16.1
101,16.03
100,16.16
99,15.83
98,15.83
97,14.95
96,14.89
95,14.89
94,14.95
93,14.36
92,14.77
91,14.77
90,14.71
89,14.24
88,13.85
87,13.63
86,13.36
85,12.83
84,12.53
83,12.39
82,12.14
81,12.05
80,11.86
79,11.72
78,11.67
77,11.63
76,11.45
75,11.36
74,11.27
73,11.09
72,11.05
71,10.92
70,11.67
69,11.01
68,10.84
67,10.84
66,10.67
65,10.58
64,10.5
63,10.42
62,10.3
61,10.18
60,10.1
59,10.02
58,9.9
57,9.83
56,9.75
55,9.64
54,9.56
53,9.6
52,9.41
51,9.41
50,9.38
49,9.3
48,9.16
47,9.09
46,9.01
45,8.94
44,8.87
43,8.84
42,8.77
41,8.7
40,8.57
39,8.53
38,8.53
37,8.47
36,8.43
35,8.33
34,8.3
33,8.27
32,8.24
31,8.2
30,8.17
29,8.14
28,8.07
27,8.04
26,8.04
25,7.98
24,7.95
23,7.88
22,7.85
21,7.82
20,7.79
19,7.7
18,7.67
17,7.64
16,7.61
15,7.55
14,7.52
13,7.46
12,7.52
11,7.43
10,7.43
9,7.4
8,7.37
7,7.31
6,7.25
5,7.28
4,7.4
3,7.4
2,7.34
1,7.34
0,7.28
0,6.91
1,6.85
2,6.83
3,6.8
4,6.77
5,6.85
6,6.88
7,6.85
8,6.85
